"TaxaID"	"Prevalence"	"TotalCounts"	"Percentage"
"237"	"denovo451578"	3	11	0.00688373373717905
"238"	"denovo472893"	1	11	0.00688373373717905
"239"	"denovo53067"	2	11	0.00688373373717905
"240"	"denovo544509"	1	11	0.00688373373717905
"241"	"denovo552307"	2	11	0.00688373373717905
"242"	"denovo87159"	1	11	0.00688373373717905
"243"	"denovo117371"	1	10	0.00625793976107186
"244"	"denovo134404"	2	10	0.00625793976107186
"245"	"denovo194774"	4	10	0.00625793976107186
"246"	"denovo204005"	1	10	0.00625793976107186
"247"	"denovo204880"	1	10	0.00625793976107186
"248"	"denovo220767"	1	10	0.00625793976107186
"249"	"denovo268481"	1	10	0.00625793976107186
"250"	"denovo29212"	2	10	0.00625793976107186
"251"	"denovo311410"	2	10	0.00625793976107186
"252"	"denovo330020"	2	10	0.00625793976107186
"253"	"denovo36641"	1	10	0.00625793976107186
"254"	"denovo388646"	2	10	0.00625793976107186
"255"	"denovo390374"	2	10	0.00625793976107186
"256"	"denovo400755"	2	10	0.00625793976107186
"257"	"denovo417743"	2	10	0.00625793976107186
"258"	"denovo418831"	1	10	0.00625793976107186
"259"	"denovo4724"	1	10	0.00625793976107186
"260"	"denovo485436"	2	10	0.00625793976107186
"261"	"denovo507907"	2	10	0.00625793976107186
"262"	"denovo513667"	2	10	0.00625793976107186
"263"	"denovo544673"	1	10	0.00625793976107186
"264"	"denovo548320"	3	10	0.00625793976107186
"265"	"denovo560714"	3	10	0.00625793976107186
"266"	"denovo58203"	2	10	0.00625793976107186
"267"	"denovo118107"	3	9	0.00563214578496467
"268"	"denovo131775"	1	9	0.00563214578496467
"269"	"denovo141552"	1	9	0.00563214578496467
"270"	"denovo146275"	3	9	0.00563214578496467
"271"	"denovo149405"	1	9	0.00563214578496467
"272"	"denovo169244"	2	9	0.00563214578496467
"273"	"denovo199238"	2	9	0.00563214578496467
"274"	"denovo212338"	1	9	0.00563214578496467
"275"	"denovo216360"	2	9	0.00563214578496467
"276"	"denovo28591"	1	9	0.00563214578496467
"277"	"denovo329102"	1	9	0.00563214578496467
"278"	"denovo387329"	1	9	0.00563214578496467
"279"	"denovo415892"	2	9	0.00563214578496467
"280"	"denovo441657"	1	9	0.00563214578496467
"281"	"denovo442560"	2	9	0.00563214578496467
"282"	"denovo450880"	2	9	0.00563214578496467
"283"	"denovo549599"	1	9	0.00563214578496467
"284"	"denovo562574"	1	9	0.00563214578496467
"285"	"denovo646478"	1	9	0.00563214578496467
"286"	"denovo661772"	1	9	0.00563214578496467
"287"	"denovo706354"	1	9	0.00563214578496467
"288"	"denovo75560"	1	9	0.00563214578496467
"289"	"denovo112966"	3	8	0.00500635180885749
"290"	"denovo130275"	1	8	0.00500635180885749
"291"	"denovo169249"	2	8	0.00500635180885749
"292"	"denovo255178"	1	8	0.00500635180885749
"293"	"denovo283471"	1	8	0.00500635180885749
"294"	"denovo391548"	1	8	0.00500635180885749
"295"	"denovo396542"	3	8	0.00500635180885749
"296"	"denovo397686"	1	8	0.00500635180885749
"297"	"denovo424605"	1	8	0.00500635180885749
"298"	"denovo430950"	2	8	0.00500635180885749
"299"	"denovo437805"	3	8	0.00500635180885749
"300"	"denovo45565"	2	8	0.00500635180885749
"301"	"denovo512146"	2	8	0.00500635180885749
"302"	"denovo540498"	1	8	0.00500635180885749
"303"	"denovo550748"	2	8	0.00500635180885749
"304"	"denovo578809"	2	8	0.00500635180885749
"305"	"denovo606454"	1	8	0.00500635180885749
"306"	"denovo607905"	2	8	0.00500635180885749
"307"	"denovo620669"	2	8	0.00500635180885749
"308"	"denovo653659"	2	8	0.00500635180885749
"309"	"denovo6632"	1	8	0.00500635180885749
"310"	"denovo664421"	2	8	0.00500635180885749
"311"	"denovo676681"	1	8	0.00500635180885749
"312"	"denovo709263"	3	8	0.00500635180885749
"313"	"denovo718081"	1	8	0.00500635180885749
"314"	"denovo83906"	1	8	0.00500635180885749
"315"	"denovo95020"	1	8	0.00500635180885749
"316"	"denovo107087"	1	7	0.0043805578327503
"317"	"denovo107744"	1	7	0.0043805578327503
"318"	"denovo120774"	2	7	0.0043805578327503
"319"	"denovo150783"	1	7	0.0043805578327503
"320"	"denovo226657"	2	7	0.0043805578327503
"321"	"denovo306535"	2	7	0.0043805578327503
"322"	"denovo369855"	2	7	0.0043805578327503
"323"	"denovo370034"	2	7	0.0043805578327503
"324"	"denovo417008"	4	7	0.0043805578327503
"325"	"denovo417297"	1	7	0.0043805578327503
"326"	"denovo425383"	1	7	0.0043805578327503
"327"	"denovo436769"	2	7	0.0043805578327503
"328"	"denovo444940"	1	7	0.0043805578327503
"329"	"denovo452730"	1	7	0.0043805578327503
"330"	"denovo455849"	2	7	0.0043805578327503
"331"	"denovo468131"	2	7	0.0043805578327503
"332"	"denovo476346"	2	7	0.0043805578327503
"333"	"denovo488446"	2	7	0.0043805578327503
"334"	"denovo517765"	2	7	0.0043805578327503
"335"	"denovo529002"	1	7	0.0043805578327503
"336"	"denovo530988"	3	7	0.0043805578327503
"337"	"denovo60118"	2	7	0.0043805578327503
"338"	"denovo606828"	2	7	0.0043805578327503
"339"	"denovo645419"	1	7	0.0043805578327503
"340"	"denovo664776"	2	7	0.0043805578327503
"341"	"denovo692724"	2	7	0.0043805578327503
"342"	"denovo103023"	1	6	0.00375476385664312
"343"	"denovo117957"	4	6	0.00375476385664312
"344"	"denovo119582"	1	6	0.00375476385664312
"345"	"denovo124316"	2	6	0.00375476385664312
"346"	"denovo151588"	2	6	0.00375476385664312
"347"	"denovo198615"	1	6	0.00375476385664312
"348"	"denovo20851"	1	6	0.00375476385664312
"349"	"denovo221218"	1	6	0.00375476385664312
"350"	"denovo238020"	2	6	0.00375476385664312
"351"	"denovo239961"	2	6	0.00375476385664312
"352"	"denovo262338"	3	6	0.00375476385664312
"353"	"denovo268554"	3	6	0.00375476385664312
"354"	"denovo277514"	2	6	0.00375476385664312
"355"	"denovo29716"	1	6	0.00375476385664312
"356"	"denovo316216"	1	6	0.00375476385664312
"357"	"denovo340735"	2	6	0.00375476385664312
"358"	"denovo35690"	1	6	0.00375476385664312
"359"	"denovo386263"	2	6	0.00375476385664312
"360"	"denovo42173"	2	6	0.00375476385664312
"361"	"denovo424496"	2	6	0.00375476385664312
"362"	"denovo440197"	1	6	0.00375476385664312
"363"	"denovo450888"	1	6	0.00375476385664312
"364"	"denovo459097"	4	6	0.00375476385664312
"365"	"denovo463053"	2	6	0.00375476385664312
"366"	"denovo46320"	2	6	0.00375476385664312
"367"	"denovo506258"	1	6	0.00375476385664312
"368"	"denovo512296"	2	6	0.00375476385664312
"369"	"denovo516139"	1	6	0.00375476385664312
"370"	"denovo528894"	1	6	0.00375476385664312
"371"	"denovo542675"	1	6	0.00375476385664312
"372"	"denovo550512"	1	6	0.00375476385664312
"373"	"denovo563714"	2	6	0.00375476385664312
"374"	"denovo565011"	2	6	0.00375476385664312
"375"	"denovo565278"	1	6	0.00375476385664312
"376"	"denovo587501"	1	6	0.00375476385664312
"377"	"denovo594535"	1	6	0.00375476385664312
"378"	"denovo634218"	2	6	0.00375476385664312
"379"	"denovo643733"	2	6	0.00375476385664312
"380"	"denovo65663"	1	6	0.00375476385664312
"381"	"denovo667426"	3	6	0.00375476385664312
"382"	"denovo696805"	2	6	0.00375476385664312
"383"	"denovo711578"	2	6	0.00375476385664312
"384"	"denovo73059"	2	6	0.00375476385664312
"385"	"denovo116765"	1	5	0.00312896988053593
"386"	"denovo130295"	1	5	0.00312896988053593
"387"	"denovo132031"	1	5	0.00312896988053593
"388"	"denovo139085"	2	5	0.00312896988053593
"389"	"denovo150949"	1	5	0.00312896988053593
"390"	"denovo155012"	1	5	0.00312896988053593
"391"	"denovo159656"	2	5	0.00312896988053593
"392"	"denovo16379"	2	5	0.00312896988053593
"393"	"denovo16859"	2	5	0.00312896988053593
"394"	"denovo168622"	1	5	0.00312896988053593
"395"	"denovo174567"	2	5	0.00312896988053593
"396"	"denovo209936"	2	5	0.00312896988053593
"397"	"denovo225689"	1	5	0.00312896988053593
"398"	"denovo226801"	3	5	0.00312896988053593
"399"	"denovo229633"	2	5	0.00312896988053593
"400"	"denovo253743"	1	5	0.00312896988053593
"401"	"denovo26119"	3	5	0.00312896988053593
"402"	"denovo293530"	1	5	0.00312896988053593
"403"	"denovo297017"	2	5	0.00312896988053593
"404"	"denovo299200"	2	5	0.00312896988053593
"405"	"denovo302897"	2	5	0.00312896988053593
"406"	"denovo323412"	1	5	0.00312896988053593
"407"	"denovo324651"	2	5	0.00312896988053593
"408"	"denovo351345"	1	5	0.00312896988053593
"409"	"denovo360597"	3	5	0.00312896988053593
"410"	"denovo387695"	2	5	0.00312896988053593
"411"	"denovo421566"	1	5	0.00312896988053593
"412"	"denovo433414"	1	5	0.00312896988053593
"413"	"denovo435028"	1	5	0.00312896988053593
"414"	"denovo445649"	2	5	0.00312896988053593
"415"	"denovo448403"	1	5	0.00312896988053593
"416"	"denovo45296"	2	5	0.00312896988053593
"417"	"denovo453544"	1	5	0.00312896988053593
"418"	"denovo469354"	1	5	0.00312896988053593
"419"	"denovo483667"	1	5	0.00312896988053593
"420"	"denovo506506"	1	5	0.00312896988053593
"421"	"denovo526112"	3	5	0.00312896988053593
"422"	"denovo526344"	2	5	0.00312896988053593
"423"	"denovo528354"	2	5	0.00312896988053593
"424"	"denovo528667"	1	5	0.00312896988053593
"425"	"denovo539147"	2	5	0.00312896988053593
"426"	"denovo55197"	1	5	0.00312896988053593
"427"	"denovo566277"	1	5	0.00312896988053593
"428"	"denovo569568"	1	5	0.00312896988053593
"429"	"denovo602612"	2	5	0.00312896988053593
"430"	"denovo605920"	1	5	0.00312896988053593
"431"	"denovo605932"	1	5	0.00312896988053593
"432"	"denovo657544"	3	5	0.00312896988053593
"433"	"denovo663055"	1	5	0.00312896988053593
"434"	"denovo673599"	1	5	0.00312896988053593
"435"	"denovo67964"	2	5	0.00312896988053593
"436"	"denovo681871"	1	5	0.00312896988053593
"437"	"denovo682154"	2	5	0.00312896988053593
"438"	"denovo688544"	2	5	0.00312896988053593
"439"	"denovo710761"	1	5	0.00312896988053593
"440"	"denovo100414"	1	4	0.00250317590442874
"441"	"denovo141517"	1	4	0.00250317590442874
"442"	"denovo145148"	1	4	0.00250317590442874
"443"	"denovo177049"	2	4	0.00250317590442874
"444"	"denovo180561"	1	4	0.00250317590442874
"445"	"denovo18603"	1	4	0.00250317590442874
"446"	"denovo200171"	2	4	0.00250317590442874
"447"	"denovo210366"	2	4	0.00250317590442874
"448"	"denovo217181"	1	4	0.00250317590442874
"449"	"denovo234535"	2	4	0.00250317590442874
"450"	"denovo2357"	1	4	0.00250317590442874
"451"	"denovo23836"	1	4	0.00250317590442874
"452"	"denovo240948"	1	4	0.00250317590442874
"453"	"denovo265"	1	4	0.00250317590442874
"454"	"denovo302360"	1	4	0.00250317590442874
"455"	"denovo310368"	1	4	0.00250317590442874
"456"	"denovo324739"	1	4	0.00250317590442874
"457"	"denovo335682"	2	4	0.00250317590442874
"458"	"denovo335912"	1	4	0.00250317590442874
"459"	"denovo348269"	2	4	0.00250317590442874
"460"	"denovo353619"	1	4	0.00250317590442874
"461"	"denovo375033"	2	4	0.00250317590442874
"462"	"denovo38248"	2	4	0.00250317590442874
"463"	"denovo390230"	2	4	0.00250317590442874
"464"	"denovo399984"	2	4	0.00250317590442874
"465"	"denovo402389"	1	4	0.00250317590442874
"466"	"denovo405007"	1	4	0.00250317590442874
"467"	"denovo413723"	2	4	0.00250317590442874
"468"	"denovo419777"	3	4	0.00250317590442874
"469"	"denovo425500"	1	4	0.00250317590442874
"470"	"denovo450050"	1	4	0.00250317590442874
"471"	"denovo458403"	2	4	0.00250317590442874
"472"	"denovo466849"	2	4	0.00250317590442874
"473"	"denovo467948"	1	4	0.00250317590442874
"474"	"denovo488829"	1	4	0.00250317590442874
"475"	"denovo490031"	1	4	0.00250317590442874
"476"	"denovo490775"	1	4	0.00250317590442874
"477"	"denovo497779"	1	4	0.00250317590442874
"478"	"denovo512394"	1	4	0.00250317590442874
"479"	"denovo52655"	1	4	0.00250317590442874
"480"	"denovo528537"	2	4	0.00250317590442874
"481"	"denovo536158"	1	4	0.00250317590442874
"482"	"denovo543400"	1	4	0.00250317590442874
"483"	"denovo569461"	3	4	0.00250317590442874
"484"	"denovo571274"	2	4	0.00250317590442874
"485"	"denovo577510"	2	4	0.00250317590442874
"486"	"denovo579422"	1	4	0.00250317590442874
"487"	"denovo588091"	1	4	0.00250317590442874
"488"	"denovo597741"	1	4	0.00250317590442874
"489"	"denovo640490"	1	4	0.00250317590442874
"490"	"denovo655397"	1	4	0.00250317590442874
"491"	"denovo660597"	1	4	0.00250317590442874
"492"	"denovo678131"	1	4	0.00250317590442874
"493"	"denovo683296"	3	4	0.00250317590442874
"494"	"denovo692698"	1	4	0.00250317590442874
"495"	"denovo695694"	1	4	0.00250317590442874
"496"	"denovo701370"	1	4	0.00250317590442874
"497"	"denovo703547"	2	4	0.00250317590442874
"498"	"denovo717617"	1	4	0.00250317590442874
"499"	"denovo717839"	2	4	0.00250317590442874
"500"	"denovo87249"	3	4	0.00250317590442874
"501"	"denovo91695"	2	4	0.00250317590442874
